Brand,Name,Address,Open_time,Close_time
FEBO,FEBO Reguliersbreestraat Amsterdam,Reguliersbreestraat 38 1017 CN Amsterdam ,"{“Maandag”: “11:00”, “Dinsdag”: “11:00”, “Woensdag”: “11:00”, “Donderdag”: “11:00”, “Vrijdag”:”11:00”, “Zaterdag”: “11:00”, “Zondag”:”11:00”}","{“Maandag”: “3:00”, “Dinsdag”: “3:00”, “Woensdag”: “3:00”, “Donderdag”: “3:00”, “Vrijdag”:”4:00”, “Zaterdag”: “4:00”, “Zondag”:”3:00”}"
FEBO,FEBO Hoofddorp,Marktplein 220 2132 CW Hoofddorp ,,
FEBO,FEBO Diagonaal Almere,De Diagonaal 26 1315 XE Almere ,,
FEBO,FEBO Almere-Buiten,Noordeinde 176 1334 BR Almere ,,
FEBO,FEBO Amersfoort,Langestraat 84 3811 AK Amersfoort ,,
FEBO,FEBO Amsteldijk Amsterdam,Amsteldijk 132H 1078 RT Amsterdam ,,
FEBO,FEBO Stadionplein Amsterdam,Stadionplein 132 1076 CK Amsterdam ,,
FEBO,FEBO Martelaarsgracht Amsterdam,Nieuwendijk 50 1012 MN Amsterdam ,,
FEBO,FEBO Ferdinand Bolstraat Amsterdam,Ferdinand Bolstraat 89 1072 LD Amsterdam ,,
FEBO,FEBO van Woustraat Amsterdam,Van Woustraat 65 1074 AC Amsterdam ,,
FEBO,FEBO Galileiplantsoen Amsterdam,Galileiplantsoen 46 1098 NB Amsterdam ,,
FEBO,FEBO Kinkerstraat Amsterdam,Kinkerstraat 166H 1053 EJ Amsterdam ,,
FEBO,FEBO Oudezijds Voorburgwal Amsterdam,Oudezijds Voorburgwal 33 1012 EJ Amsterdam ,,
FEBO,FEBO Eerste van Swindenstraat Amsterdam,Eerste van Swindenstraat 229 1093 GB Amsterdam ,,
FEBO,FEBO Zeilstraat Amsterdam,Zeilstraat 14H 1075 SH Amsterdam ,,
FEBO,FEBO Bos en Lommerplein Amsterdam,Bos en Lommerplein 200 1055 EK Amsterdam ,,
FEBO,FEBO Javaplein Amsterdam,Javaplein 1 1095 CH Amsterdam ,,
FEBO,FEBO Linnaeusstraat Amsterdam,Linnaeusstraat 94 1092 CP Amsterdam ,,
FEBO,FEBO Hugo de Grootplein Amsterdam,Hugo de Grootplein 3H 1052 KV Amsterdam ,,
FEBO,FEBO Leidsestraat Amsterdam,Leidsestraat 94H 1017 PE Amsterdam ,,
FEBO,FEBO Beverwijk,Beverhof 45 1941 EC Beverwijk ,,
FEBO,FEBO Den Bosch,Goudsmidstraat 10 5232 BP Den Bosch ,,
FEBO,FEBO Gorinchem,Hoogstraat 13 4201 CA Gorinchem ,,
FEBO,FEBO Fustweg Haarlem,Fustweg 1B 2031 CJ Haarlem ,,
FEBO,FEBO Paul Krugerstraat Haarlem,Paul Krugerstraat 11 2021 XL Haarlem ,,
FEBO,FEBO Heerhugowaard,Middenwaard 65B 1703 SC Heerhugowaard ,,
FEBO,FEBO Gedempte Turfhaven Hoorn,Gedempte Turfhaven 8 1621 HE Hoorn ,,
FEBO,FEBO Amsterdam Bijlmerplein,Bijlmerplein 367A 1102 DK Amsterdam ,,
FEBO,FEBO Leiden,Haarlemmerstraat 157 2312 DP Leiden ,,
FEBO,FEBO Lelystad,Kroonpassage 28 8232 VP Lelystad ,,
FEBO,FEBO Oosterhout,Arendshof 1A 4901 LG Oosterhout ,,
FEBO,FEBO Tilburg,Heuvelstraat 50 5038 AG Tilburg ,,
FEBO,FEBO Utrecht,Lange Elisabethstraat 2 3511 JC Utrecht ,,
FEBO,FEBO Drive Wormerveer,Samsonweg 1H 1521 RA Wormerveer ,,
FEBO,FEBO Gedempte Gracht 13 Zaandam,Gedempte Gracht 13 1506 CA Zaandam ,,
FEBO,FEBO Zandvoort,Kerkplein 5 2042 JH Zandvoort ,,
FEBO,FEBO Grote Markt Zwolle,Grote Markt 15 8011 LW Zwolle ,,
FEBO,FEBO Drive Zwolle,Oude Meppelerweg 5 8011 AK Zwolle ,,
FEBO,FEBO Gedempte Gracht 90 Zaandam,Gedempte Gracht 90 1506 CJ Zaandam ,,
FEBO,FEBO Drive Oostzaan,Ambacht 30 1511 JZ Oostzaan ,,
FEBO,FEBO ArenA Automatiek Amsterdam,Arenaboulevard 135 1101 EJ Amsterdam ,,
FEBO,FEBO Buikslotermeerplein Amsterdam,Buikslotermeerplein 54 1025 EW Amsterdam ,,
FEBO,FEBO Daniel Goedkoopstraat Amsterdam,Daniel Goedkoopstraat 13B 1096 BD Amsterdam ,,
FEBO,FEBO Mosveld Amsterdam,Gentiaanstraat 7 1031 AE Amsterdam ,,
FEBO,FEBO Nieuwendijk Amsterdam,Nieuwendijk 220 1012 MX Amsterdam ,,
FEBO,FEBO Osdorpplein Amsterdam,Osdorpplein 501A 1068 TA Amsterdam ,,
FEBO,FEBO Slotermeerlaan Amsterdam,Slotermeerlaan 133A 1063 JN Amsterdam ,,
FEBO,FEBO Waterlandplein Amsterdam,Waterlandplein 3 1024 LL Amsterdam ,,
FEBO,FEBO Hilversum,Kerkstraat 2 1211 CW Hilversum ,,
FEBO,FEBO Nijmegen,Molenstraat 52 6511 HN Nijmegen ,,
FEBO,FEBO Uithoorn,Zijdelwaardplein 75B 1422 DL Uithoorn ,,
FEBO,FEBO Stationsplein Almere,Stationsplein 47 1315 KT Almere ,,
FEBO,FEBO Kersenboogerd,Betje Wolffplein 169 1628 NK Hoorn ,,
FEBO,FEBO Drive Hoorn,Jan Tinbergenweg 7 1689 ZV Zwaag ,,
FEBO,FEBO Rozengracht,Rozengracht 137 1016 LV Amsterdam ,,
FEBO,FEBO Diemen,Diemerplein 188 1111 GE Diemen ,,
FEBO,FEBO Aalsmeer,Aalsmeerderweg 497 1432 ED Aalsmeer ,,
FEBO,FEBO De Lucht,Rijksweg 2 5314 LJ Bruchem ,,
FEBO,FEBO Dronten,Koornmarktpoort 1 8253 TD Dronten ,,
FEBO,FEBO Hoofddorp Rijksweg A4,Rijksweg 4 2132 MA Hoofddorp ,,
FEBO,FEBO Koestraat Purmerend,Koestraat 4 1441 CV Purmerend ,,
FEBO,FEBO Tijnmuiden Amsterdam,Tijnmuiden 53 unit A1a 1046 AK Amsterdam ,,
FEBO,FEBO Harderwijk,Wolleweverstraat 6 3841 AZ Harderwijk ,,
Smullers,Smullers Amersfoort,Stationsplein 49-53 Amersfoort ,"{“Maandag”: “11:00”, “Dinsdag”: “11:00”, “Woensdag”: “11:00”, “Donderdag”: “11:00”, “Vrijdag”:”11:00”, “Zaterdag”: “12:00”, “Zondag”:”12:00”}","{“Maandag”: “22:00”, “Dinsdag”: “22:00”, “Woensdag”: “22:00”, “Donderdag”: “23:00”, “Vrijdag”:”23:00”, “Zaterdag”: “22:00”, “Zondag”:”22:00”}"
Smullers,Smullers Amsterdam Amstel,Julianapassage 8 Amsterdam ,"{“Maandag”: “12:00”, “Dinsdag”: “12:00”, “Woensdag”: “12:00”, “Donderdag”: “12:00”, “Vrijdag”:”12:00”, “Zaterdag”: “12:00”, “Zondag”:”12:00”}","{“Maandag”: “20:00”, “Dinsdag”: “20:00”, “Woensdag”: “20:00”, “Donderdag”: “20:00”, “Vrijdag”:”20:00”, “Zaterdag”: “19:00”, “Zondag”:”19:00”}"
Smullers,Smullers Amsterdam CS (Middentunnel),Stationsplein 35D Amsterdam,"{“Maandag”: “11:00”, “Dinsdag”: “11:00”, “Woensdag”: “11:00”, “Donderdag”: “11:00”, “Vrijdag”:”11:00”, “Zaterdag”: “11:00”, “Zondag”:”11:00”}","{“Maandag”: “23:00”, “Dinsdag”: “23:00”, “Woensdag”: “00:00”, “Donderdag”: “00:00”, “Vrijdag”:”1:00”, “Zaterdag”: “1:00”, “Zondag”:”00:00”}"
Smullers,Smullers Amsterdam CS (Westtunnel),ein 45E Amsterdam ,"{“Maandag”: “11:00”, “Dinsdag”: “11:00”, “Woensdag”: “11:00”, “Donderdag”: “11:00”, “Vrijdag”:”11:00”, “Zaterdag”: “11:00”, “Zondag”:”11:00”}","{“Maandag”: “23:00”, “Dinsdag”: “23:00”, “Woensdag”: “23:00”, “Donderdag”: “23:00”, “Vrijdag”:”23:00”, “Zaterdag”: “23:00”, “Zondag”:”23:00”}"
